연번,시군,사업장명,소재지,면적(제곱미터),용량(세제곱미터),침출수처리,사 용,비고
1,목포,목포시 위생매립장,대양로 241-41 ,180000,2897000,생물학적처리,1995-02-23,매립
2,여수,여수시폐기물 매립시설,진달래길 310-157(월내동),67775,1500000,폐수종말처리장,2000-03-03,매립
3,여수,여수광역 폐기물매립시설,충민사길 252 (만흥동),235485,3255000,활성오니법,1997-04-15,매립
4,여수,삼산면초도 폐기물매립시설,삼산면 초도리  산1840,1000,3258,하수종말처리장,2008-03-19,농어촌
5,여수,화정면개도 폐기물매립시설,화정면 개도리 140-2,1200,2940,하수종말처리장,2008-03-19,농어촌
6,여수,거문도 폐기물매립시설,삼산면 거문리 116-2,640,2112,하수종말처리장,2011-05-11,농어촌
7,여수,금오도 폐기물매립시설,남면 우학리 산112-4,1008,5870,하수종말처리장,2012-03-08,농어촌
8,여수,연도 폐기물매립시설,남면 연도길 248-70,375,748,하수종말처리장,2015-01-26,농어촌
9,여수,손죽도 농어촌폐기물 종합처리시설,삼산면 손죽리  산1659,840,1880,하수종말처리장,2014-04-08,농어촌
10,순천,순천시생활폐기물매립장 ,해촌길 35 (왕지동),95450,2259682,생물화학적처리,1991-03-13,매립
11,순천,순천시주암면 폐기물매립장 ,주암면 구산리  산33 일원,27226,284700,생물화학적처리,2014-01-04,매립
12,나주,나주공산면 폐기물매립시설,공산면 백사리 산1-1외,96100,1042000,생물화학적처리,2003-01-26,매립
13,광양,광양시생활 폐기물매립시설,광양읍 죽림리 산128-1외,133104,3145000,생물화학적처리,1996-12-03,매립
14,담양,농촌폐기물 종합처리시설,담양읍 태봉로  228-73,30473,304269,생물화학적처리,2002-12-26,매립
15,곡성,농어촌폐기물 종합처리시설,곡성읍 신리 29587,28700,134300,화학적처리,2001-02-08,매립
16,구례,농어촌폐기물 종합처리시설,용방면 신지리  산5-1외,16750,200540,증발농축,2003-07-25,매립
17,고흥,농어촌폐기물 종합처리시설 ,고흥읍 호형리  산200-3,22000,305000,생물화학적처리,2000-09-07,매립
18,고흥,도양농어촌 폐기물처리시설,도양읍 용정리 1877-1,18073,271794,생화학처리,2008-07-24,매립
19,고흥,시산도농어촌 폐기물처리시설 ,도양읍 시산리  734,100,250,침출수미발생,2015-03-12,농어촌
20,보성,보성벌교쓰레기위생매립장 ,벌교읍 영등리  산7-2,4950,27000,하수종말처리장,2008-02-18,매립
21,보성,농어촌폐기물 종합처리시설,보성읍 용문리  산24외5,5130,51577,분뇨처리장,2001-10-30,매립
22,화순,농어촌폐기물 종합처리시설,한천면 가암리  산92,24720,301000,생화학처리,2008-12-02,매립
23,장흥,농어촌폐기물 종합처리시설,부산면 부촌리 83 ,54000,283000,생물화학적처리,1998-08-25,매립
24,장흥,장흥회진 폐기물매립시설,회진면 회진리  1423,24420,274175,역삼투압방식,2003-11-17,매립
25,강진,강진군강진읍 폐기물매립시설,강진읍 목리 437 ,8000,40000,하수종말처리장,2001-06-27,매립
26,해남,해남군 위생매립장,해남읍 복평리  891외12,49518,336000,하수종말처리장,1999-08-27,매립
27,영암,영암군  폐기물매립시설,삼호읍 난전리 1704-2,141500,972900,하수종말처리장,2009-12-11,매립
28,무안,무안군무안읍 폐기물매립시설 ,무안읍 몽탄로  125-33,22055,293469,분뇨처리장,2008-06-26,매립
29,함평,함평군 폐기물매립시설,함평읍 장년리 산59-2외,13760,146000,생물화학적처리,2000-02-21,매립
30,영광,홍농쓰레기 매립장시설 ,홍농읍 성산리 산2-1,45115,523696,하수종말처리장,2006-10-23,매립
31,장성,장성군쓰레기 위생매립장,황룡면 월평리  산34-8,10983,129983,생물화학적처리,1996-10-04,매립
32,완도,농어촌폐기물 종합처리시설,완도읍 청해진서로 189-735 ,9436,82332,하수종말처리장,2011-04-06,매립
33,완도,노화읍폐기물 종합처리시설,노화읍 이포리  05월 24일,850,3000,하수처리장 연계,2011-01-20,농어촌
34,완도,금일읍폐기물 종합처리시설,금일읍 신구리  1562외1,700,1073,하수처리장 연계,2002-08-12,농어촌
35,완도,완도군고금면 매립시설,고금동로98-1 (도남리 789),468,947,하수처리장 연계,2004-01-30,농어촌
36,완도,약산면폐기물종합처리시설 ,약산면 약산로 844 (해동리 255),600,1279,하수처리장 연계,2004-01-30,농어촌
37,완도,금당면폐기물종합처리시설 ,금당면 육산리 840일원,800,2156,하수처리장 연계,2004-01-30,농어촌
38,완도,보길면폐기물 종합처리시설,보길면 예송리  산 30,900,3104,하수처리장 연계,2006-04-03,농어촌
39,완도,소안면폐기물 종합처리시설,소안면 미라리 1057,600,2127,하수종말처리장,2005-04-10,농어촌
40,완도,청산면폐기물 종합처리시설,완도군 청산면 신흥리 305,476,1212,하수처리장 연계,2005-05-13,농어촌
41,완도,생일면폐기물 종합처리시설,생일면 금곡리  산15일원,600,2127,하수처리장 연계,2005-05-13,농어촌
42,완도,노화읍 넙도 폐기물처리장 ,노화읍 넙도길  86(내리 7),100,250,하수처리장 연계,2016-03-31,농어촌
43,진도,진도의신면 폐기물매립시설,의신면 연주리  1030,3218,10656,분뇨처리장,2002-11-06,매립
44,진도,조도면폐기물 종합처리시설,조도면 창유리  2790,1958,4915,하수종말처리장,2005-02-14,농어촌
45,진도,군내면폐기물 종합처리시설,군내면 덕병리 3908,21960,123330,하수종말처리장,2006-12-04,농어촌
46,진도,서거차도 폐기물처리시설,조도면 서거차도리 산1-6,92,202,위탁처리,2011-02-22,농어촌
47,진도,관매도 폐기물처리시설,조도면 관매도리  156,92,202,위탁처리,2011-11-16,농어촌
48,신안,신안군자은 폐기물매립시설,자은면 백산리 산271,2100,5222,생물화학적처리,1995-06-21,농어촌
